,beer,score,style,abv,rating,cleaned_review
1751,Dinner,100,IPA - Imperial,8.2%,4.84,"Deep gold pour with excellent clarity; white head; good cap retention; heavy ring; medium heavy lacing; no legs. Nose is caramel malt, citrus peel, tropical fruit with a whiff of pine. Bitter grapefruit rind balanced by semi sweet malt foundation; layers of tangerine, lemon, pineapple and mango; some pine with a hint of onion and garlic in the middle; bitter lemon zest finish. Medium body with grainy fullness feel; moderate minus, streaming carbonation; no warmth from 8.2% abv; no hop astringency; creamy, bready, malty mouthfeel with some sticky resin too. Overall, an amazing DIPA; delish layers of citrus and tropical fruit from the hops and a rock solid malt foundation that balances the bitterness; exactly what I enjoy drinking in an IPA!"
1752,Bourbon Barrel Black Maple,99,Porter - Imperial,13.1%,4.25,"375ml bottle, 2021 release, poured into a stemless wine glass. The beer pours a deep jet black color, thick and viscous with a thin finger of tan head, very fizzy with no retention nor lacing. The aroma is nice, lots of dark chocolate, charred oak, molasses, bourbon spirit, brown sugar, caramel, light maple, stone fruits and hearty grain. The flavors are nice, lots of dark chocolate, a bit of roasted grain, toasted barrel, burnt wood, maple and brown sugar, caramel, vanilla, spicy bourbon spirit, stone fruits and a bit of licorice. The mouthfeel is very good, coating and lively with a heavy medium body that is smooth and finishes warmly. Verdict: A nice barrel-aged porter from Jackie O's. The balance is very nice, lots of rich and decadent flavors but even with the maple, it doesn't veer into an overly sweet space. The barrel character is well developed and it has a great body that really helps deliver the flavors."
1753,Morning Wood,100,Porter - Imperial,12%,4.5,"L: Poured from a growler to a pint glass. Had a dark brown / black color and a thick, opaque consistency. There was a quarter inch of creamy, tan-colored, long-lasting head. Very good lacing. S: An incredibly enticing aroma of maple syrup, malt, bourbon, coffee, and chocolate. T: Tasted of a bit of malt (not a huge factor), a good shot of bourbon (and its accompanying barrel), a hint of vanilla, a ton of maple syrup (quite sweet), a bit of chocolate, and some coffee. This is a rich, sweet, terribly well-balanced flavor. The maple syrup is definitely the dominant force, but it's never cloying. Tasty stuff. F: A decent amount of carbonation with a warm, smooth finish. Full-bodied. O: An exceptionally well made stout. Drinkable."
1754,Upper Case,100,IPA - New England,9%,4.25,"I enjoyed this beer, especially the nose. The nose promised bright floral hop perfection, but after taking it on I expected the taste to be different. It is more earthy than I expected. It is a great dipa, but the taste does not invite the next sip as well as other excellent IPAs I've had from this fine brewer."
1755,Vicinity,99,IPA - New England,8%,4.62,"L: dark orange, full pulp orange juice. Complete haze that poured thick with a white fluffy head that fades fast"
1756,In Perpetuity,100,IPA - New England,6.7%,4.66,Hazy with nice lacing. Taste is floral with great citrus notes. I continue to be impressed by this brewery. I once tried to visit in the Dead of winter and just couldn't bring myself to stand in line all the way around an acre lot. My mistake. These guys rock. A+
1757,Sosus,99,IPA - Imperial,7.8%,4.02,"Pours a semi translucent golden color with a nice egg shell colored head, which if left undisturbed turns into little cream like dollops,A noticeable amount of sediment is present. This is a very fresh beer. Smells like mild fruit loops,fresh grass ,some conifer.Taste pineapple bread like profile, the mosaic hop is definitely well showcased in a subtle malt bill, almost wanting a bit more malt. Feels medium body, finishes juicy.Overall a very good DIPA showcase beer. REVISION: 3/22/21, this beer is tasty but the amount of sediment on the bottom of a Teku glass looks about 2 Teaspoons. It sort of turns me off. Is it yeast? some hop pieces? not really sure."
1758,Citra,100,IPA - Imperial,8%,4.25,"Having on draft in a pint glass. Dark amber color with a slight haze and one finger head. Smells of burnt caramel and toasted orange rind. Totally full bodied with creamy carbonation texture. Flavors of roasted pineapple, peach with toasted orange rind bitterness. Long lasting fruit sweetness and bitterness."
1759,King Julius,100,IPA - New England,8.3%,4.56,"Looks like a glass of orange juice in the glass with a bone white head that is a bit fluffy and a LOT clingy, sticking to the glass as the beer descends. The nose is heavy on ripe oranges and mango, with other tropical fruit aromas as well. The taste is also dominated by the ripe orange and mango flavors, and there’s a nice pineapple flavor as well. The mouthfeel is per the NEIPA style and fits well with this world-class juice bomb."
1760,Abricot Du Fermier,100,Farmhouse Ale - Saison,8%,4.02,"A: An upbeat melon, carrot orange pour with mild yellow inserts. The collar is practical and comes slightly off-white with adequate retention S: The scent is energetic with rustic acidity, and upfront leggings in Riesling stone fruit: cherries, apricots, peaches, nectarines. The development is delayed from sharp acidity, but eventually picks up on the courtyard subtleties in oaked woodland, wheat orchards, cellared satchel, and peppered haystacks against the tempered/relaxed wine barrel T: More shaded barrel on taste peering alongside the wild horse blanket and funky greenwood. Tartness remains on crisp apricot, earthy pine needles, and honey fruit leather to skins of crunchy gold apple pears. There is a peppery, cutting sour bite throughout, but not crumbling to palate or too forceful/cut-throat with slight ventilation. Intensity varies and contracts in lapses, as involvedness constructs in temperature to warming cedar, mildewed pastures, white grape-vanilla jam, and softened fruit-nut bread M: Light, effervescent feel with medium carbonation and a prickly, peppery spice that ends parched O: A fair bit of workings coming out of a matured (2+ yrs.) Blend #3, where stability bobs thru piercing acidity: gravitates more sensibly over time to composure"
1761,Mother Of All Storms,99,Barleywine - English,14%,4.84,"I was able to get in on a case buy a couple years ago. This is an amazing barleywine! Pours dark brown to black in the glass. Has a sweet front and backend and hides the alcohol very well. It’s a great beer to sip on the beach with a fire and watching the sunset. One of my favorites by Pelican Brewing. If you get a chance to be on the Oregon coast, this is a must see location for any beer lover! You won’t be disappointed with the beer or venue!"
1762,Fundamental Observation,100,Stout - American Imperial,14.3%,4.75,"Pours a deep black with no head and only a thin ring of tan around the edge. The smell is divine. Dark fruits, bourbon, vanilla, brown sugar, and now dark fruits. The taste is bourbon, vanilla, raisin and finishes with char and leather. The 14.6% abv comes through but minimally and warming. The mouthfeel is velvet. It coats the mouth with low carbonation and a long, slightly dry finish. Overall, this is excellent. Great flavors that balance well. A slow sipper for sure."
1763,All That Is And All That Ever Will Be,99,Stout - Sweet / Milk,6.5%,4.52,"Poured from a 16oz can into a Treehouse tulip glass.  Pours a deep black, inky body with a substantial frothy brown head that reduces to leave nice layered lacing.  Aromas are straight chocolate fudge and cocoa, Hershey's syrup, coffee. On the tongue it's decadent and rich but not overly filling or cloyingly sweet, very drinkable silky smooth body with milk chocolate and cocoa dominating flavor, and a coffee aftertaste."
1764,The Rusty Nail,100,Stout - Oatmeal,13.3%,3.85,"Pours a pitch-black coloration with a small, fluffy, dark-brown head. Smells of slightly roasted, caramel malt and a huge cinnamon aroma that drowns out almost everything else except for a distinct Bourbon note, as well as hints of chocolate, vanilla and licorice managing to poke through. Taste is a decent balance of slightly smoked and roasted, quite caramelly malt and a huge, sweet cinnamon presence, although the flavor manages just a bit more depth than the nose, with more distinct chocolate, licorice, molasses and dark fruit notes of raisin and fig coming through here, with a good, not too boozy, Bourbon character and hints of vanilla, tobacco and charred oak. Finishes rather sweet, with a very light bitterness and some cinnamon, licorice and Bourbon lingering in the aftertaste. Full mouthfeel with a rich body and light/medium carbonation. After BA Dark Star this is another big disappointment from Fremont for me, which I had also been saving for a special occasion, just like the former. Similar to BA Abraxas, which I also consider highly overrated, this is a total cinnamon bomb that is way too sweet for my personal taste and just lacking overall balance, while the mouthfeel, while very nice, is hardly outstanding either in my personal opinion. Although it does make for a very rich brew with a good Bourbon presence that never turns quite as boozy as BA Dark Star, the sweetness from the cinnamon, licorice and molasses is just too much and while there is a decent complexity to this, most of it gets drowned out by the overly dominant cinnamon character that the lightly smoked/roasted malts and mild bitterness are really struggling against, while the dark fruits and vanilla only add to that overdone sweetness here. I'm not saying it's a bad brew, being quite rich and with a good complexity, mouthfeel and bourbon presence, just not that well balanced for my personal taste, being way too sweet and dominated by the cinnamon, while I would have wished for the smoked/roasted malt and bitterness to shine through more distinctly here."
